sample_ID,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;uncultured,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;uncultured,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;Acinetobacter sp. CAG:196,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;Heliobacterium sp. N15.MGS-306,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;gut metagenome,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;uncultured bacterium,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;uncultured organism,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae,Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured bacterium,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae,Bacteria;Firmicutes;Bacilli;RF39;gut metagenome,Bacteria;Firmicutes;Bacilli;RF39;uncultured bacterium,Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae,Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae,Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;gut metagenome,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Clostridiales bacterium,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Ruminococcaceae bacterium,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured bacterium,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured organism,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;gut metagenome,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured Thermoanaerobacterales bacterium,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured bacterium,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured organism,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Ruminiclostridium,Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010,Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011,Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium] methylpentosum group,Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group,Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured,Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Ezakiella,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fenollaria,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae,Bacteria;Firmicutes;Incertae Sedis;DTU014;uncultured organism,Bacteria;Firmicutes;Limnochordia;Hydrogenispora;uncultured Firmicutes bacterium,Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae,label
H18090,0,0,0,0,0,0,0,11,7,115,0,2384,365,78,479,0,2063,1570,56,0,8,0,0,8,4,18,2,347,0,35,2,0,0,0,0,0,13,0,61,1,0,230,10,0,0,660,0,0,1,1,0,7,0,0,0,1531,24,14,0,556,1522,6,0,2,167,0,11,0,28,0,0,0,0,0,0,174,0,1,0,1,0,0,0,0,1,184,0,0,0,12,0,0,0,0,1
H18093,3,7,0,0,0,0,0,300,0,36,0,3962,852,0,0,0,2,1731,324,0,1,0,0,0,0,1,0,61,0,92,33,0,0,0,39,0,21,0,0,0,0,3,0,0,0,78,0,0,0,1,0,0,0,0,2,1557,26,17,0,507,433,0,0,1,239,0,0,0,76,0,0,0,0,0,0,1,6,2689,3,0,0,0,0,0,0,962,0,709,0,4,1,0,0,17,0
H18094,7,0,0,0,1,0,5,150,290,56,0,3704,707,117,0,4,487,2744,143,0,0,0,0,0,0,1,0,76,0,215,4,0,4,0,77,0,55,0,89,0,0,43,0,0,0,597,0,0,0,3,1,16,0,0,6,1858,87,33,0,424,1982,1,14,2,242,1,4,0,31,0,1,0,2,0,0,0,26,396,0,0,0,0,0,0,14,572,0,31,0,12,0,0,0,0,0
H18095,1,0,0,0,0,0,2,26,1,79,0,2688,250,600,56,0,150,2294,366,0,0,0,0,27,12,0,0,30,0,95,18,30,0,0,4,1,131,15,39,1,0,700,0,0,0,282,8,0,0,23,0,13,0,2,2,1294,49,6,0,467,1501,17,26,17,161,19,7,0,54,0,0,0,0,8,0,0,0,53,0,0,0,0,1,0,0,78,0,183,0,10,0,0,0,0,0
H18096,2,0,0,0,1,0,7,225,3,27,0,3782,331,20,0,0,0,1295,285,0,4,0,0,0,0,0,0,35,1,68,2,0,0,0,6,0,4,0,2,0,0,7,0,0,0,191,0,0,0,2,0,3,0,0,0,1279,163,30,0,248,1055,4,0,1,24,0,0,0,15,0,0,0,0,0,0,22,0,1629,0,4,0,15,1,0,61,30,0,34,10,6,0,0,1,0,1
H18099,20,0,0,0,0,4,0,52,71,25,0,1512,458,71,0,38,20,566,264,0,0,0,0,0,0,0,0,119,0,184,31,0,0,7,10,2,125,0,0,0,3,246,0,0,0,0,0,0,0,4,3,0,0,30,2,1941,150,3,1,1995,1461,218,78,7,283,9,17,2,41,1,1,1,0,5,0,0,0,1369,0,0,0,0,0,0,255,0,0,3118,0,0,0,0,0,0,0
H18100,126,1,1,0,23,2,21,292,0,273,0,368,23,15,7,3,528,54,41,0,3,1,0,0,0,0,0,103,0,244,108,0,10,39,3,0,1129,0,0,24,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,3379,7,35,0,61,1222,0,0,0,139,0,0,3,7,7,7,1,0,0,0,61,0,210,132,4,0,0,0,0,6,421,0,3316,0,7,6,1,0,0,4
H18101,0,1,1,0,0,0,0,134,0,128,0,3231,88,48,0,0,480,688,116,0,0,0,0,0,0,0,0,42,0,348,8,0,0,6,0,2,130,0,0,0,0,132,0,0,0,129,0,0,0,0,0,5,0,0,2,1584,24,16,0,85,1152,0,0,1,125,0,0,0,12,0,0,0,0,0,0,135,0,1,0,0,0,0,2,0,0,76,0,0,0,0,2,2,0,11,1
H18105,11,5,1,0,1,0,4,71,4,47,0,6727,352,39,0,0,62,762,0,0,0,0,0,0,0,0,0,51,0,53,42,0,1,0,4,0,56,0,1,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,3,1909,0,7,0,935,849,2,0,0,14,0,0,0,56,0,0,0,2,0,0,0,0,11,0,0,0,0,1,0,0,0,0,5102,0,0,0,0,0,0,4
H18106,0,4,0,0,0,0,0,0,0,15,0,3186,86,163,2,0,1,1261,310,0,0,0,0,0,0,0,0,0,0,43,24,0,0,0,0,0,33,0,12,0,0,12,6,0,0,458,10,1,0,0,0,1,0,0,0,1059,133,20,0,76,1765,27,0,0,48,0,2,0,6,0,0,0,0,0,0,4,0,1022,0,0,0,0,0,1,1,189,0,5,0,1558,0,0,0,0,0
H18108,8,3,0,0,0,1,0,1,3,370,0,1103,0,84,0,0,12,1041,0,0,5,2,0,0,0,0,0,1,0,542,81,0,0,24,34,0,160,0,0,0,2,2,0,0,0,2,0,0,0,0,0,36,0,0,0,3714,48,23,0,249,5430,0,0,1,419,0,0,0,8,0,0,0,3,0,0,0,0,3426,0,0,0,4,0,0,1,0,0,5560,0,4,0,1,0,0,1
H18112,16,2,3,0,4,0,3,136,0,80,0,2524,43,21,0,8,10,1520,138,0,0,0,0,0,4,14,8,7,10,205,36,12,0,86,5,5,198,0,0,1,1,223,0,0,0,416,0,0,0,0,0,28,1,0,0,1836,12,7,0,394,1702,1,8,2,215,0,1,0,90,1,0,1,1,0,0,93,0,19,0,4,0,0,0,1,0,17,0,5765,0,7,1,0,0,0,1
H18113,5,1,1,0,0,0,42,284,2,77,0,251,149,22,788,0,480,778,46,0,0,1,0,0,0,0,0,247,0,53,109,211,0,0,2,0,108,104,142,0,0,1956,12,7,0,879,0,0,0,12,1,146,0,0,0,1405,17,24,0,511,485,200,0,4,739,0,43,0,109,0,1,0,2,0,1,0,11,264,0,0,0,0,0,0,109,89,0,551,0,16,0,0,0,0,1
H18114,26,1,0,0,4,2,6,418,116,37,0,3861,68,166,1792,0,3556,1443,679,0,0,0,0,0,0,0,0,2,0,235,25,0,0,0,160,0,804,0,0,0,3,43,0,0,0,29,0,0,0,0,1,0,1,0,0,2625,9,34,1,745,1410,0,0,1,146,0,0,0,45,0,0,1,0,0,0,0,0,2697,6,0,0,0,1,0,385,1119,0,142,0,7,0,1,0,0,0
H18115,2,8,0,0,0,0,0,463,0,24,0,2106,98,7,0,0,778,167,51,0,0,0,0,0,0,0,0,22,4,593,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2430,162,30,0,4,2747,0,0,0,289,0,0,0,3,1,1,1,3,0,0,0,0,5251,0,0,0,0,0,0,0,10,0,105,0,0,1,0,0,0,0
H18116,0,2,0,0,0,0,0,223,32,230,0,2547,1067,360,0,0,0,2466,658,0,1,0,0,0,0,0,0,113,0,421,27,0,0,0,0,0,26,0,63,0,1,295,0,0,0,6,0,0,509,2,5,14,0,0,0,1821,36,4,1,1569,506,224,9,29,267,0,9,1,63,0,0,0,0,9,0,12,0,0,0,1,0,0,0,0,98,30,0,2252,0,0,0,0,0,4,1
H18117,5,1,0,0,1,0,6,108,10,62,0,1137,23,40,1505,0,1835,430,169,0,0,1,0,0,0,0,0,6,2,152,8,0,0,0,14,1,25,0,77,0,1,7,0,0,0,964,0,0,0,0,0,2,0,0,0,1807,38,28,0,195,685,26,0,0,378,0,0,0,75,0,0,0,0,0,0,40,0,146,0,0,0,3,6,0,11,42,0,3165,0,0,0,0,0,0,1
H18118,10,0,1,0,0,1,0,366,325,307,0,2417,147,32,363,0,243,535,101,0,0,0,0,0,0,0,0,9,0,700,313,0,0,0,18,2,738,0,0,1,0,2120,0,0,0,1855,7,0,1,10,1,23,1,0,2,3045,156,15,0,241,905,1,30,2,91,0,22,0,133,0,0,0,0,0,0,0,0,24,3,0,0,1,0,0,0,46,0,408,0,0,0,0,0,0,0
H18121,0,1,2,0,0,0,0,6,0,164,0,2735,52,33,0,0,527,669,304,0,0,0,0,0,0,0,0,16,0,56,6,0,1,2,1,0,33,0,0,0,0,16,0,0,0,0,0,0,2,0,3,0,0,0,0,784,15,9,0,888,1437,0,0,2,166,0,0,0,3,0,0,0,0,0,1,4,0,1175,0,0,0,1,0,0,0,385,0,4,0,6,0,0,0,0,0
