"","Bacteria.Acidobacteriota.Aminicenantia","Bacteria.Acidobacteriota.Blastocatellia","Bacteria.Actinobacteriota.Acidimicrobiia","Bacteria.Actinobacteriota.Actinobacteria","Bacteria.Actinobacteriota.Coriobacteriia","Bacteria.Actinobacteriota.Thermoleophilia","Bacteria.Bacteroidota.Bacteroidia","Bacteria.Bdellovibrionota.Bdellovibrionia","Bacteria.Bdellovibrionota.Oligoflexia","Bacteria.Campilobacterota.Campylobacteria","Bacteria.Chloroflexi.Anaerolineae","Bacteria.Cyanobacteria.Vampirivibrionia","Bacteria.Dependentiae.Babeliae","Bacteria.Desulfobacterota.Desulfovibrionia","Bacteria.Desulfobacterota.Desulfuromonadia","Bacteria.Elusimicrobiota.Elusimicrobia","Bacteria.Elusimicrobiota.Lineage.IIa","Bacteria.Fibrobacterota.Fibrobacteria","Bacteria.Firmicutes.Bacilli","Bacteria.Firmicutes.Clostridia","Bacteria.Firmicutes.Incertae.Sedis","Bacteria.Firmicutes.Limnochordia","Bacteria.Firmicutes.Moorellia","Bacteria.Firmicutes.Negativicutes","Bacteria.Firmicutes.uncultured","Bacteria.Fusobacteriota.Fusobacteriia","Bacteria.Myxococcota.Polyangia","Bacteria.Myxococcota.bacteriap25","Bacteria.Nitrospirota.Nitrospiria","Bacteria.Patescibacteria.Saccharimonadia","Bacteria.Proteobacteria.Alphaproteobacteria","Bacteria.Proteobacteria.Gammaproteobacteria","Bacteria.Spirochaetota.Brachyspirae","Bacteria.Spirochaetota.Spirochaetia","Bacteria.Synergistota.Synergistia","Bacteria.Verrucomicrobiota.Lentisphaeria","Bacteria.Verrucomicrobiota.Verrucomicrobiae"
"Median",0.0504643544885768,0.035683465072145,0.0472913297887449,0.166666666666667,0.166629493536632,0.0504643544885768,0.153971101365482,0.163610069317187,0.0740105266174634,0.0181249545365694,0.035683465072145,0.117864981774399,0.035683465072145,0.0686936625167536,0.122030377597569,0.0613199213057425,0.035683465072145,0.0504643544885768,0.136575938687489,0.147925465869586,0.039622095823151,0.0148558497953373,0.035683465072145,0.101559988976216,0.0666325214689593,0.165471795823225,0.0238831970426586,0.035683465072145,0.035683465072145,0.0150005678783742,0.122432511067905,0.0360724024442318,0.0996572177359066,0.0756219114271869,0.0209870236905907,0.153556705658659,0.0755777720704718
"P_cor",0.0102074050424009,0.0100864075169339,0.0407980974764,0.0115175579331868,0.12609084515835,0.0129588003004403,0.0659573473365441,0.103180295163288,0,0.0201450750573907,0,0.0247536759349906,0.0100864075169339,0.0196091373469054,0,0.0133535769369087,0.0100864075169339,0.0111407153915369,0.0394174415635369,0.0499909887786378,0.00443120260336818,0.00594154901953577,0.0100864075169339,0.00523533692072321,0.0128484543036487,0.166666666666667,0.0801160220320687,0.0100864075169339,0.0100864075169339,0.0301975156892965,0.0381320695689904,0.0530182435303994,0.0114384125697054,0.118185611174473,0.014666457692858,0.026805254752315,0.00510737551339972
"S_cor",0.0185792925178847,0.0131260548385839,0.0172451710033077,0.166666666666667,0.16125344089054,0.0185792925178847,0.0836722585962483,0.111249178369285,0.0279021174258181,0.00646800478863015,0,0.0496765302410091,0.0131260548385839,0.0255960577158149,0.0524421465207842,0.0227748215860647,0.0131260548385839,0.0185792925178847,0.0632176130421024,0.0749158630435402,0.0142970028945693,0,0.0131260548385839,0.0405389278683113,0.0247798179929381,0.126153507002908,0.00858351440169128,0.0131260548385839,0.0131260548385839,0.00534110507693195,0.0525945328874862,0.0129724621165993,0.039655309638111,0.0285855674913662,0.00754226280685657,0.0831373568466915,0.0284842855805256
"LogReg",0.00107540955447746,2.64242975412428e-06,4.82284698379536e-08,3.91752617886512e-06,0.000312295618154567,8.84253907198834e-06,0.007575439546885,3.38587563018348e-07,2.09896475993693e-07,1.64357199532713e-05,8.9571536916036e-05,6.14645275917776e-05,1.46269944260697e-06,0.000101721249914512,2.43644028905598e-07,6.20654012423389e-05,7.0511883112969e-07,5.7546646720133e-06,0.000714272308142036,0.00368748871812123,3.41451585533716e-06,2.69566726725589e-07,6.50171054424495e-07,0.000534997475480577,2.21170487887773e-07,1.70083307900147e-05,7.14554383568502e-07,1.61001961794149e-06,8.78535421500326e-07,9.06687346391525e-07,3.27275136282167e-05,0.00225860611292056,0.166666666666667,1.80560155598174e-06,1.82407202088682e-05,2.31230819689149e-07,1.49351769892998e-06
"ER_RF",0,0,0.000727844741356671,0.166666666666667,0.139845378395445,5.58805943460016e-05,0.0130565008689433,0.00319916402630859,0.000286388046023258,0.000149480589875554,0,0.0100906383240292,0,0.00405832816437837,0.000206758199080206,2.37492525970507e-05,0,5.58805943460016e-06,0.0376663146189223,0.0216383631456305,0.010702530832118,0.00571099674216136,0,0.0104119517415187,0.0137382441199645,0.0410610607254419,1.39701485865002e-06,0,0,0.00932367716663037,0.00888641151587291,0.0289223986186318,0.000107570144116053,4.61014903354513e-05,0.000896883539253326,0.00268366554346673,0.00285130732650473
"Gini_RF",0.000132379810333036,0.000186503136884383,0.0111808693312339,0.126715439187441,0.166666666666667,0.000360483137377202,0.121657014416461,0.0177370269140324,0.00932196441653234,0.0210544226925589,0.000106763268369872,0.0526653341752228,2.57728687123979e-05,0.106593582555195,0.0163294419383941,0.000233713450048358,0.00016118153832562,4.05089934542181e-05,0.124688705587677,0.133837393365357,0.0335266741586478,0.0309932241318695,0.000137611035973904,0.133720400222344,0.0191505402437854,0.0936456176923897,0.0144747642009261,0.000546104800518361,3.67427017423602e-05,0.0499489939681188,0.0270204717765985,0.147173163845062,0.000420836875349173,0.016209368088044,0.00293525775939211,0.0146505218625473,0.0319094940527438
"AUC_CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ER_CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
