sample_ID,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H26613,0.23138219388396866,0.37504686675933685,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.6118602941992911,-0.48970963739176965,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,1.3483084703189117,-0.08288852089861078,0.32528269562529244,-0.17492202448062513,-0.2296133615797248,-0.34820265362532055,-0.23996029690780535,-0.5778261563866781,-0.39030237595493694,-0.1978591872453851,-0.2980660140174034,-0.23185419539757715,-0.22000829290791946,-0.37144349922049824,-0.3115440543972064,-1.4726550959210938,-0.48345980291559043,-0.6019902511574439,-0.2994549292431423,-0.08249393923251971,0.8186161088231475,-0.6530868308901377,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.4076385776544769,-0.2205353324716387,-0.24085283172699087,-0.09152847570604733,-0.24875441359133216,0
H26614,-0.3557273492586212,0.2554142482854974,-0.066663756522763,0.4840492767249135,-0.1623184993468083,0.11179483058683526,-1.4446941927844885,-0.20987606142855156,-0.08032435408177205,0.19302270086291906,-0.28267811683415495,-0.08288852089861078,-0.2571654108170114,-0.17492202448062513,-0.006718884415876269,-0.34820265362532055,0.029942689753766277,-0.44882196265964575,-0.4920921662612991,-0.1978591872453851,0.03330743936691833,-0.23185419539757715,-0.22000829290791946,-0.7538247660977587,-0.2870391476151284,-0.5989218873764426,-0.4353786605686885,-0.28798016870915144,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,-0.35812345664265494,-0.15207106732464212,-0.18913860419079034,-0.14676683299393273,-0.4024004201537318,-0.4487964788919445,6.431967279872838,0.23108765028297065,-0.24875441359133216,4
H26615,-0.439600141136134,0.6143121037070157,-0.066663756522763,-0.14318321153687438,-0.1623184993468083,-0.4988643112592647,-1.351218714024354,-0.17668623893052643,-0.031207611951124908,-0.15005694650950657,-0.28806091085116176,-0.08288852089861078,0.124739185922104,-0.17492202448062513,-0.24223003009843322,-0.34642293245731415,-0.23996029690780535,-0.5621364571496066,-0.5231256389156779,-0.1978591872453851,0.13317341161972762,-0.23185419539757715,-0.22000829290791946,-0.2558835586163139,-0.5994767090866231,-0.772783735962796,-0.48345980291559043,-0.42754020535283693,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,-0.43067667314862434,-0.0776803250925876,-0.37960708919229713,-0.14676683299393273,-0.4024004201537318,-0.4911247688424677,-0.2423456326468119,-0.08640758481733275,-0.24875441359133216,3
H26619,-0.3557273492586212,-0.34274884408369977,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.18151389108727575,-0.8582634529012557,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.3526544390552436,-0.06867307339484424,-0.13160773517675428,-0.17492202448062513,-0.3067152247496095,-0.34820265362532055,-0.23996029690780535,-0.5255271589297731,-0.18796413424838768,-0.18583181198675264,-0.24359366551587106,-0.23185419539757715,-0.22000829290791946,-0.4921707542419429,0.0376508672474054,0.14430433558812142,-0.48345980291559043,0.584270060313883,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,-0.6504956445863531,-0.15207106732464212,0.0013298808107164756,-0.14676683299393273,-0.07632511573234692,-0.4859311136338145,-0.17516959125486728,-0.0966493665947619,-0.24875441359133216,1
H26621,-0.439600141136134,-0.34274884408369977,-0.05279296037137615,-0.2999913336023214,-0.1623184993468083,-0.6911978992422884,-1.2558830267316792,-0.24306588392657671,-0.08032435408177205,-0.18273119864021378,-0.33112326298721634,-0.08288852089861078,-0.6913857057395673,0.10378562639147103,-0.3403596741328319,0.4366543814655021,-0.23996029690780535,0.9667375685072501,-0.2711338409621226,-0.017448558365898124,-0.2935266516422757,-0.23185419539757715,-0.22000829290791946,-0.5616946209468994,-0.48920462856727204,-0.7236777176597802,-0.3392163758748846,-0.3228701778700728,-0.2994549292431423,-0.08249393923251971,-0.2490381273656548,-0.6060136130380505,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.2138267501269068,-0.4934619136863616,-0.21398241517021305,-0.0966493665947619,0.10910768363994812,0
H26624,-0.3557273492586212,0.4946794852331763,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.7368771263882564,-0.7852502679990611,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,0.40631951734271804,-0.08288852089861078,-0.6931295623456819,-0.17492202448062513,-0.3291448576717578,-0.34820265362532055,-0.23996029690780535,-0.4505652625748759,-0.2214802847151167,-0.1978591872453851,-0.288987289267148,-0.23185419539757715,-0.22000829290791946,-0.941727108543587,-0.5810980290000646,-1.122719415941945,-0.48345980291559043,-0.2414601564945896,-0.2994549292431423,-0.08249393923251971,-0.26377891563650613,-0.42549430054105514,-0.15207106732464212,-0.18913860419079034,-0.14676683299393273,-0.35525700264702553,-0.4867101619151125,-0.23338882712788592,-0.0966493665947619,-0.24875441359133216,0
H26625,-0.439600141136134,-0.34274884408369977,-0.05279296037137615,-0.2999913336023214,-0.1623184993468083,-0.7008145786414395,-0.7331644290879412,-0.24306588392657671,-0.08032435408177205,-0.06837131618273858,-0.3526544390552436,-0.08288852089861078,-0.5640841734931954,-0.17492202448062513,-0.33895782207519765,-0.34642293245731415,-0.14999263468728147,-0.5795694563019083,-0.5218843000095027,-0.1978591872453851,-0.2980660140174034,-0.23185419539757715,-0.22000829290791946,-0.8632778805724537,-0.38505877474344047,-0.8201201680206581,-0.48345980291559043,-0.6368802603183652,-0.2994549292431423,-0.08249393923251971,0.3679691531142645,-0.6522231021222095,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,0.04546204615997755,-0.4820358722273247,-0.24682403540627484,-0.0966493665947619,-0.24875441359133216,0
H26626,-0.439600141136134,0.9732099591285341,-0.05279296037137615,-0.2999913336023214,-0.1623184993468083,-0.4099100268171163,-1.2461169319358443,-0.20987606142855156,-0.08032435408177205,-0.215405450770921,-0.30420929290218224,-0.08288852089861078,-0.3338951014860574,-0.11519895643660454,-0.2842855918274612,-0.34820265362532055,-0.23996029690780535,-0.5412168581668446,-0.1829987786236871,-0.17380443672812018,-0.2662904773915095,0.3856252630063009,-0.03798602746612987,-0.9501827139536493,-0.2012719738778553,-1.0391064658584315,-0.3392163758748846,-0.25309015954823005,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,0.35488464128208,-0.15207106732464212,-0.18913860419079034,-0.14676683299393273,-0.39847180202817295,-0.48904730675900643,-0.24383843356663287,-0.0966493665947619,-0.24875441359133216,1
H26628,-0.439600141136134,-0.34274884408369977,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.6719645404439859,-0.8987229884840006,0.18840180854775018,-0.08032435408177205,-0.215405450770921,-0.08889753222190941,-0.08288852089861078,-0.3827230864572685,-0.17492202448062513,-0.32213559738358644,-0.34820265362532055,-0.14999263468728147,-0.1472310773248268,0.29739937806609545,-0.18583181198675264,-0.2072787665148495,-0.23185419539757715,-0.22000829290791946,-1.120234333867124,-0.6423602959552597,-1.1129866915935993,-0.29113523352798265,-0.5205802297819606,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,-0.3503498977313011,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.3316852938936724,0.40374202360846967,-0.24682403540627484,-0.0966493665947619,-0.24875441359133216,0
H26629,-0.27185455738110836,-0.22311622560986033,-0.05279296037137615,-0.14318321153687438,-0.1623184993468083,-0.4387600650145698,-1.050795036019145,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.12119429632395033,-0.05445762589107771,-0.7227751246496315,-0.17492202448062513,-0.22260410129155347,0.22842700480875322,-0.14999263468728147,-0.4767147613033284,-0.027831415351793502,-0.1978591872453851,-0.17550322988895564,0.17979877687167486,-0.22000829290791946,-1.0131299986730018,-0.38505877474344047,-0.9961939994134537,-0.14689180648727684,-0.5903602481038034,0.00909615292665022,-0.08249393923251971,-0.32695372251158317,-0.18710516059286994,-0.15207106732464212,-0.18913860419079034,-0.14676683299393273,-0.4089481170296632,-0.4898263550403044,-0.18412639677379325,-0.09152847570604733,-0.24875441359133216,1
H26632,1.573346863924174,7.433371356715863,-0.066663756522763,0.01362491052857257,0.2491437340023282,1.580742608807178,-1.615833377778168,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.34727164503823676,-0.08288852089861078,1.4256562140836568,-0.17492202448062513,0.3171089408976395,-0.34820265362532055,-0.14999263468728147,-0.5778261563866781,-0.5231256389156779,-0.1978591872453851,-0.003007459634103233,-0.23185419539757715,-0.22000829290791946,-0.3066171910766875,-0.6791176561283767,-1.3974476805020606,-0.48345980291559043,-0.6485102633720057,-0.2994549292431423,-0.08249393923251971,-0.37959939490748074,-0.6453132719787839,0.07110115937152146,8.953348675881537,0.024594079804236904,-0.3081135851403193,0.05057346942005562,0.6473637155664985,-0.09152847570604733,-0.24875441359133216,1
H26683,-0.439600141136134,-0.22311622560986033,0.0026902242341712273,1.7385142532484892,0.8663370840260329,-0.4988643112592647,-0.7878080547313036,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.3526544390552436,-0.08288852089861078,0.030570929191911168,0.26304714117552597,0.5456108262920252,0.05935349384814517,-0.23996029690780535,0.04801851318095196,-0.5231256389156779,1.8828767324980313,-0.048401083385380184,-0.23185419539757715,-0.22000829290791946,0.923673396087373,0.05602954733396391,1.6325263677624031,0.5743253287162523,3.852300918386852,-0.2994549292431423,-0.08249393923251971,0.8038753205522962,-0.5865797157596657,-0.15207106732464212,5.9058529158574276,2.4236468589786115,-0.3356139120192313,-0.48411333431078596,-0.24682403540627484,-0.0966493665947619,-0.24875441359133216,0
H26684,0.14750940200645582,-0.10348360713602091,-0.066663756522763,-0.14318321153687438,-0.1623184993468083,-0.6791770499933494,0.4643448137346792,-0.24306588392657671,-0.031207611951124908,-0.215405450770921,-0.1427254723919776,-0.06867307339484424,-0.7280066944679755,-0.17492202448062513,-0.30391152063434096,-0.34820265362532055,-0.23996029690780535,-0.5743395565562178,-0.5231256389156779,-0.1978591872453851,-0.2708298397666372,-0.23185419539757715,-0.22000829290791946,-0.20327090273148196,-0.6913701095194157,-0.6029034564280386,-0.48345980291559043,-0.6019902511574439,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,0.33976938784333643,0.44305487053179415,-0.18913860419079034,-0.14676683299393273,-0.2963277307636427,-0.14574669746703336,2.7223569941176757,-0.0966493665947619,-0.24875441359133216,0
H26685,-0.18798176550359552,-0.34274884408369977,-0.066663756522763,0.4840492767249135,-0.1623184993468083,-0.6383061625469568,0.021382656923593382,-0.24306588392657671,0.5581932936166408,-0.215405450770921,-0.2234673826470799,-0.08288852089861078,-0.7140558416190581,-0.17492202448062513,-0.30811707680724376,-0.34820265362532055,0.029942689753766277,-0.5708529567257574,-0.5194016221971524,-0.10164018517632538,-0.288987289267148,-0.23185419539757715,-0.22000829290791946,-0.5880009488893153,-0.6362340692597401,-0.8086178574271589,-0.48345980291559043,-0.27635016565551096,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,-0.31061837440660356,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.18501688387280854,-0.2197562841903407,-0.24682403540627484,-0.09152847570604733,-0.24875441359133216,0
