Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
0.0,0.0,0.0,0.0,0.037528216704288936,0.0,0.19161676646706588,0.0,0.0,0.0,0.0,0.011339475549255847,0,0.10101892285298399,0.0,0.0,0,0.0,0.014974230394205321,0.1752058218171126,0.0,0.0,0.0,0.010390689941812137,0.0,0.0,0.0,0,0,0.017857142857142856,0.0,0.0040643697132246755,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.005154639175257732,0.09480812641083522,0.0,0.18765209307412573,0.0,0.0,0.0,0.0,0.00035435861091424523,0,0.017758369723435224,0.0,0.0,0,0.0,0.0128151553141106,0.10794619229638341,0.0,0.0,0.0,0.16007600047500298,0.0,0.011583011583011582,0.0,0,0,0.0,0.0,0.0345780895399216,0.0,0.0,0.0,0.0,0.2463768115942029,0.0
0.0,0.0,0.0,0.004123711340206186,0.14136568848758466,0.0,0.21592431575205753,0.0,0.0,0.0,0.0,0.00035435861091424523,0,0.02212518195050946,0.0,0.0,0,0.0,0.03175929795236105,0.19644957365480742,0.0,0.0,0.0,0.025056406602541267,0.0,0.0,0.0,0,0,0.0,0.0,0.012977099236641221,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0005154639175257732,0.030474040632054177,0.0,0.17485576791622234,0.0,0.0,0.0,0.0,0.013819985825655563,0,0.008733624454148471,0.0,0.0,0,0.0,0.02319264521521103,0.17075860041164365,0.11594202898550725,0.0,0.0,0.0031468946680916756,0.015957446808510637,0.0,0.0,0,0,0.0,0.0,0.005611718588817825,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0015463917525773195,0.07392776523702031,0.0,0.15607141880622316,0.0,0.0,0.0,0.0,0.0,0,0.010189228529839884,0.0,0.0,0,0.0,0.005711101824766681,0.11096001176124669,0.0,0.0,0.0,0.0980287376796105,0.0,0.0,0.0,0,0,0.08928571428571429,0.12295081967213115,0.0029502785227976066,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.012371134020618556,0.0417607223476298,0.0,0.07984031936127745,0.0,0.0,0.0,0.0,0.0,0,0.0346433770014556,0.0,0.0,0,0.0,0.025142777545619166,0.2392678623934137,0.07246376811594203,0.0,0.0,0.08128488303051894,0.0,0.0,0.0,0,0,0.0,0.0,0.06967196203837425,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07938144329896907,0.16534988713318285,0.0,0.02824488010280808,0.0,0.0,0.0014044943820224719,0.0,0.0,0,0.029985443959243085,0.0,0.0,0,0.0,0.1083716395041092,0.17980005880623345,0.0,0.0,0.0,0.016090725567034794,0.0,0.5096525096525096,0.0,0,0,0.07142857142857142,0.0,0.0778007014648236,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0010309278350515464,0.07392776523702031,0.0,0.12692423372433215,0.0,0.0,0.0,0.0,0.0,0,0.01222707423580786,0.0,0.0,0,0.0,0.03433625853182894,0.11996471625992355,0.0,0.0,0.0,0.008075050469065431,0.0,0.0,0.0,0,0,0.0,0.0,0.0016917681039818444,0.0,0.0,0.0,0.0,0.15942028985507245,0.25
0.0,0.0,0.0,0.009278350515463918,0.035553047404063204,0.0,0.21690864845651164,0.0,0.0,0.0,0.0,0.0,0,0.014847161572052401,0.0,0.0,0,0.0,0.010865022983702465,0.13988532784475155,0.0,0.0,0.0,0.0006531290820567629,0.0,0.0,0.0,0,0,0.0,0.0,0.10528161749535796,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.002061855670103093,0.004232505643340858,0.0,0.13671287561862577,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.007730881738403678,0.1330858571008527,0.0,0.0,0.0,0.06091913074456715,0.0,0.0,0.0,0,0,0.0,0.0,0.03618733237053848,0.0,0.0,0.0,0.0,0.0,0.0
